EbN0_dB,EndToEndBER,HuffmanSER
0,0.377433879,0.580702929
1,0.37673347,0.535892409
2,0.376252471,0.487301255
3,0.374792689,0.435799163
4,0.374969836,0.38139211
5,0.372508436,0.326361626
6,0.372190269,0.271068739
7,0.371378664,0.216900179
8,0.370376449,0.165179916
9,0.368408231,0.119820681
10,0.368349608,0.080834429
11,0.365119291,0.050550508
12,0.359949557,0.027982068
13,0.353112048,0.013537956
14,0.336069956,0.005707113
15,0.313380368,0.001903766
16,0.21719487,0.000457262
17,0.083682345,8.19E-05
18,0.011811605,1.32E-05
19,6.82E-07,5.98E-07
20,0,0
